vehicle_model,vehicle_usage_type,ambient_temp_c,engine_temp_c,avg_engine_rpm,engine_load_nm,engine_hours,maintenance_required,TWF,HDF,PWF,OSF,RNF,fault_code_count,mileage_km,usage_intensity,days_to_failure
M14860,M,24.950000000000045,35.450000000000045,1551,42.8,0,0,0,0,0,0,0,0,0,42.8,293
L47181,L,25.05000000000001,35.55000000000001,1408,46.3,3,0,0,0,0,0,0,0,135,11.575,151
L47182,L,24.950000000000045,35.35000000000002,1498,49.4,5,0,0,0,0,0,0,0,225,8.233333333333333,174
L47183,L,25.05000000000001,35.450000000000045,1433,39.5,7,0,0,0,0,0,0,0,315,4.9375,331
L47184,L,25.05000000000001,35.55000000000001,1408,40.0,9,0,0,0,0,0,0,0,405,4.0,163
M14865,M,24.950000000000045,35.450000000000045,1425,41.9,11,0,0,0,0,0,0,0,495,3.4916666666666667,268
L47186,L,24.950000000000045,35.450000000000045,1558,42.4,14,0,0,0,0,0,0,0,630,2.8266666666666667,354
L47187,L,24.950000000000045,35.450000000000045,1527,40.2,16,0,0,0,0,0,0,0,720,2.364705882352941,232
M14868,M,25.150000000000034,35.55000000000001,1667,28.6,18,0,0,0,0,0,0,0,810,1.5052631578947369,229
M14869,M,25.350000000000023,35.85000000000002,1741,28.0,21,0,0,0,0,0,0,0,945,1.2727272727272727,329
H29424,H,25.25,35.75,1782,23.9,24,0,0,0,0,0,0,0,1080,0.956,201
H29425,H,25.450000000000045,35.950000000000045,1423,44.3,29,0,0,0,0,0,0,0,1305,1.4766666666666666,292
M14872,M,25.450000000000045,35.950000000000045,1339,51.1,34,0,0,0,0,0,0,0,1530,1.46,155
M14873,M,25.450000000000045,36.05000000000001,1742,30.0,37,0,0,0,0,0,0,0,1665,0.7894736842105263,167
L47194,L,25.450000000000045,36.05000000000001,2035,19.6,40,0,0,0,0,0,0,0,1800,0.4780487804878049,225
L47195,L,25.450000000000045,36.05000000000001,1542,48.4,42,0,0,0,0,0,0,0,1890,1.1255813953488372,173
M14876,M,25.450000000000045,36.05000000000001,1311,46.6,44,0,0,0,0,0,0,0,1980,1.0355555555555556,353
M14877,M,25.55000000000001,36.05000000000001,1410,45.6,47,0,0,0,0,0,0,0,2115,0.9500000000000001,362
H29432,H,25.650000000000034,36.05000000000001,1306,54.5,50,0,0,0,0,0,0,0,2250,1.0686274509803921,227
M14879,M,25.75,36.150000000000034,1632,32.5,55,0,0,0,0,0,0,0,2475,0.5803571428571429,195
H29434,H,25.75,36.150000000000034,1375,42.7,58,0,0,0,0,0,0,0,2610,0.7237288135593221,354
L47201,L,25.650000000000034,36.150000000000034,1450,44.8,63,0,0,0,0,0,0,0,2835,0.7,222
M14882,M,25.75,36.150000000000034,1581,30.7,65,0,0,0,0,0,0,0,2925,0.46515151515151515,189
L47203,L,25.850000000000023,36.25,1758,25.7,68,0,0,0,0,0,0,0,3060,0.372463768115942,211
M14884,M,25.850000000000023,36.25,1561,37.3,70,0,0,0,0,0,0,0,3150,0.5253521126760563,197
L47205,L,25.850000000000023,36.35000000000002,1861,23.3,73,0,0,0,0,0,0,0,3285,0.31486486486486487,283
L47206,L,25.950000000000045,36.35000000000002,1512,39.0,75,0,0,0,0,0,0,0,3375,0.5131578947368421,161
H29441,H,25.950000000000045,36.25,1811,24.6,77,0,0,0,0,0,0,0,3465,0.31538461538461543,183
L47208,L,25.950000000000045,36.25,1439,44.2,82,0,0,0,0,0,0,0,3690,0.5325301204819277,251
L47209,L,25.850000000000023,36.25,1693,30.1,84,0,0,0,0,0,0,0,3780,0.35411764705882354,179
M14890,M,25.950000000000045,36.35000000000002,1339,48.2,86,0,0,0,0,0,0,0,3870,0.5540229885057472,226
